,abv,ibu,style
810,5.0,27.0,American Blonde Ale
811,6.0,104.0,American IPA
814,7.1,60.0,American IPA
815,4.7,28.0,American Pale Lager
817,7.000000000000001,70.0,American IPA
822,5.0,18.0,Witbier
823,6.9,65.0,American IPA
835,7.400000000000001,97.0,American IPA
837,4.7,19.0,American Pale Wheat Ale
838,5.6000000000000005,16.0,American Amber / Red Ale
839,4.6,17.0,Kölsch
840,6.3,42.0,American IPA
842,7.200000000000001,65.0,American IPA
843,4.7,42.0,American IPA
844,7.6,73.0,American IPA
845,5.7,40.0,American Porter
846,5.2,20.0,American Blonde Ale
850,6.4,90.0,American IPA
852,5.2,17.0,Kölsch
855,4.2,9.0,Fruit / Vegetable Beer
856,6.7,47.0,American IPA
857,6.0,21.0,Scottish Ale
860,5.0,28.0,American Pale Wheat Ale
861,5.7,36.0,American Pale Ale (APA)
864,6.9,69.0,American IPA
865,5.5,18.0,Munich Helles Lager
867,6.5,33.0,American Brown Ale
869,4.2,20.0,Munich Helles Lager
871,4.2,10.0,Witbier
872,5.8999999999999995,70.0,American IPA
877,6.5,35.0,Saison / Farmhouse Ale
878,6.5,45.0,American Pale Ale (APA)
879,5.6000000000000005,30.0,American Pale Ale (APA)
880,6.5,80.0,American IPA
881,5.3,32.0,Kölsch
883,5.2,42.0,Extra Special / Strong Bitter (ESB)
884,7.000000000000001,73.0,American IPA
886,7.200000000000001,50.0,American IPA
887,4.9,15.0,American Blonde Ale
888,5.0,26.0,American Amber / Red Ale
889,6.7,70.0,American IPA
890,7.200000000000001,75.0,American Pale Lager
891,5.800000000000001,35.0,Saison / Farmhouse Ale
892,7.400000000000001,74.0,American IPA
893,8.0,70.0,American IPA
894,9.4,92.0,American IPA
895,5.8999999999999995,60.0,American IPA
896,4.6,15.0,Hefeweizen
897,6.800000000000001,65.0,American IPA
898,5.8999999999999995,60.0,American IPA
900,5.5,20.0,American Brown Ale
901,8.0,70.0,American IPA
902,8.0,70.0,American IPA
903,5.8999999999999995,60.0,American IPA
904,4.6,15.0,Hefeweizen
905,7.000000000000001,11.0,American Porter
906,7.000000000000001,70.0,American IPA
907,6.0,18.0,American Pale Wheat Ale
908,5.6000000000000005,36.0,American Pale Ale (APA)
909,9.3,103.0,American Double / Imperial IPA
910,6.0,54.0,Oatmeal Stout
911,6.0,64.0,American IPA
912,5.800000000000001,36.0,American Brown Ale
913,5.5,40.0,American Pale Ale (APA)
914,5.8999999999999995,55.0,American IPA
915,5.4,30.0,American Pale Ale (APA)
916,5.4,30.0,American Pale Ale (APA)
917,4.2,18.0,American Pale Wheat Ale
918,4.2,18.0,American Pale Wheat Ale
919,4.2,20.0,American Pale Wheat Ale
920,5.2,19.0,American Pale Lager
925,4.3,21.0,American Pale Wheat Ale
926,4.9,21.0,English Brown Ale
927,5.5,35.0,American Pale Ale (APA)
928,5.3,22.0,American Blonde Ale
929,5.7,18.0,Fruit / Vegetable Beer
930,5.6000000000000005,33.0,American Porter
931,6.2,60.0,American IPA
933,5.3,22.0,American Blonde Ale
934,5.6000000000000005,33.0,American Porter
935,5.7,25.0,Märzen / Oktoberfest
936,4.5,36.0,American Brown Ale
937,5.7,18.0,Fruit / Vegetable Beer
940,5.1,13.0,Witbier
941,7.5,65.0,American Stout
943,5.6000000000000005,33.0,American Porter
946,6.2,60.0,American IPA
947,5.3,22.0,American Blonde Ale
957,4.5,15.0,American Pale Lager
958,4.5,15.0,American Pale Lager
959,5.2,49.0,American Pale Ale (APA)
961,5.0,5.0,Fruit / Vegetable Beer
962,7.000000000000001,22.0,American Brown Ale
965,4.8,20.0,Vienna Lager
968,5.5,10.0,Witbier
970,5.3,48.0,American Pale Ale (APA)
971,9.0,99.0,Rye Beer
972,7.000000000000001,22.0,American Brown Ale
973,7.000000000000001,70.0,American IPA
974,5.8999999999999995,25.0,Märzen / Oktoberfest
975,4.8,25.0,American Amber / Red Ale
976,6.0,36.0,American Stout
