,abv,ibu,style
810,0.05,27.0,American Blonde Ale
811,0.06,104.0,American IPA
814,0.071,60.0,American IPA
815,0.047,28.0,American Pale Lager
817,0.07,70.0,American IPA
822,0.05,18.0,Witbier
823,0.069,65.0,American IPA
835,0.07400000000000001,97.0,American IPA
837,0.047,19.0,American Pale Wheat Ale
838,0.056,16.0,American Amber / Red Ale
839,0.046,17.0,Kölsch
840,0.063,42.0,American IPA
842,0.07200000000000001,65.0,American IPA
843,0.047,42.0,American IPA
844,0.076,73.0,American IPA
845,0.057,40.0,American Porter
846,0.052000000000000005,20.0,American Blonde Ale
850,0.064,90.0,American IPA
852,0.052000000000000005,17.0,Kölsch
855,0.042,9.0,Fruit / Vegetable Beer
856,0.067,47.0,American IPA
860,0.05,28.0,American Pale Wheat Ale
861,0.057,36.0,American Pale Ale (APA)
864,0.069,69.0,American IPA
867,0.065,33.0,American Brown Ale
871,0.042,10.0,Witbier
872,0.059,70.0,American IPA
877,0.065,35.0,Saison / Farmhouse Ale
878,0.065,45.0,American Pale Ale (APA)
879,0.056,30.0,American Pale Ale (APA)
880,0.065,80.0,American IPA
881,0.053,32.0,Kölsch
884,0.07,73.0,American IPA
886,0.07200000000000001,50.0,American IPA
887,0.049,15.0,American Blonde Ale
888,0.05,26.0,American Amber / Red Ale
889,0.067,70.0,American IPA
890,0.07200000000000001,75.0,American Pale Lager
891,0.058,35.0,Saison / Farmhouse Ale
892,0.07400000000000001,74.0,American IPA
893,0.08,70.0,American IPA
894,0.094,92.0,American IPA
895,0.059,60.0,American IPA
896,0.046,15.0,Hefeweizen
897,0.068,65.0,American IPA
898,0.059,60.0,American IPA
900,0.055,20.0,American Brown Ale
901,0.08,70.0,American IPA
902,0.08,70.0,American IPA
903,0.059,60.0,American IPA
904,0.046,15.0,Hefeweizen
905,0.07,11.0,American Porter
906,0.07,70.0,American IPA
907,0.06,18.0,American Pale Wheat Ale
908,0.056,36.0,American Pale Ale (APA)
909,0.093,103.0,American Double / Imperial IPA
911,0.06,64.0,American IPA
912,0.058,36.0,American Brown Ale
913,0.055,40.0,American Pale Ale (APA)
914,0.059,55.0,American IPA
915,0.054000000000000006,30.0,American Pale Ale (APA)
916,0.054000000000000006,30.0,American Pale Ale (APA)
917,0.042,18.0,American Pale Wheat Ale
918,0.042,18.0,American Pale Wheat Ale
919,0.042,20.0,American Pale Wheat Ale
920,0.052000000000000005,19.0,American Pale Lager
925,0.043,21.0,American Pale Wheat Ale
927,0.055,35.0,American Pale Ale (APA)
928,0.053,22.0,American Blonde Ale
929,0.057,18.0,Fruit / Vegetable Beer
930,0.056,33.0,American Porter
931,0.062,60.0,American IPA
933,0.053,22.0,American Blonde Ale
934,0.056,33.0,American Porter
935,0.057,25.0,Märzen / Oktoberfest
936,0.045,36.0,American Brown Ale
937,0.057,18.0,Fruit / Vegetable Beer
940,0.051,13.0,Witbier
941,0.075,65.0,American Stout
943,0.056,33.0,American Porter
946,0.062,60.0,American IPA
947,0.053,22.0,American Blonde Ale
957,0.045,15.0,American Pale Lager
958,0.045,15.0,American Pale Lager
959,0.052000000000000005,49.0,American Pale Ale (APA)
961,0.05,5.0,Fruit / Vegetable Beer
962,0.07,22.0,American Brown Ale
968,0.055,10.0,Witbier
970,0.053,48.0,American Pale Ale (APA)
972,0.07,22.0,American Brown Ale
973,0.07,70.0,American IPA
974,0.059,25.0,Märzen / Oktoberfest
975,0.048,25.0,American Amber / Red Ale
976,0.06,36.0,American Stout
977,0.053,48.0,American Pale Ale (APA)
979,0.05,30.0,American Pale Ale (APA)
980,0.057,44.0,American Pale Ale (APA)
981,0.067,71.0,American Black Ale
983,0.085,69.0,American Double / Imperial IPA
985,0.06,54.0,American Pale Ale (APA)
986,0.04,20.0,Witbier
988,0.06,34.0,American Porter
989,0.06,54.0,American Pale Ale (APA)
990,0.049,22.0,Cream Ale
991,0.045,6.0,American Pale Wheat Ale
994,0.05,35.0,Czech Pilsener
995,0.065,25.0,American Amber / Red Ale
997,0.05,35.0,American Pale Ale (APA)
998,0.04,55.0,American IPA
1001,0.069,67.0,American IPA
1011,0.07,40.0,American IPA
1012,0.052000000000000005,18.0,American Blonde Ale
1013,0.046,17.0,Fruit / Vegetable Beer
1015,0.075,70.0,American IPA
1016,0.044,18.0,Cream Ale
1017,0.056,55.0,American Pale Ale (APA)
1021,0.05,28.0,Kölsch
1022,0.059,42.0,American IPA
1024,0.055,30.0,Märzen / Oktoberfest
1025,0.059,42.0,American IPA
1026,0.05,28.0,Kölsch
1027,0.048,10.0,American Pale Wheat Ale
1028,0.05,28.0,Kölsch
1029,0.059,42.0,American IPA
1038,0.062,40.0,American Pale Lager
1039,0.08800000000000001,77.0,American Double / Imperial IPA
1040,0.07200000000000001,45.0,American IPA
1041,0.06,30.0,Märzen / Oktoberfest
1043,0.063,30.0,Cream Ale
1044,0.08,86.0,American IPA
1047,0.07,68.0,American Pale Ale (APA)
1048,0.044,22.0,American Pale Wheat Ale
1051,0.045,32.0,American Pale Ale (APA)
1052,0.055,34.0,Czech Pilsener
1053,0.049,20.0,American Blonde Ale
1054,0.055,60.0,American Amber / Red Ale
1055,0.066,30.0,Saison / Farmhouse Ale
1057,0.042,25.0,Saison / Farmhouse Ale
1058,0.047,28.0,American Brown Ale
1059,0.058,45.0,American IPA
1060,0.049,20.0,American Blonde Ale
1062,0.063,70.0,American IPA
1063,0.049,20.0,American Blonde Ale
1064,0.048,13.0,American Pale Lager
1065,0.065,90.0,American IPA
1066,0.065,90.0,American IPA
1067,0.049,20.0,American Blonde Ale
1071,0.06,50.0,American Pale Ale (APA)
1075,0.039,20.0,American Pale Wheat Ale
1076,0.039,20.0,American Pale Wheat Ale
1077,0.039,20.0,American Pale Wheat Ale
1078,0.039,20.0,American Pale Wheat Ale
1079,0.039,20.0,American Pale Wheat Ale
1080,0.039,20.0,American Pale Wheat Ale
1081,0.039,20.0,American Pale Wheat Ale
1082,0.039,20.0,American Pale Wheat Ale
1083,0.039,20.0,American Pale Wheat Ale
1084,0.039,20.0,American Pale Wheat Ale
1085,0.039,20.0,American Pale Wheat Ale
1086,0.039,20.0,American Pale Wheat Ale
1087,0.058,60.0,American Amber / Red Ale
1088,0.058,35.0,American Stout
1089,0.066,75.0,American IPA
1092,0.058,60.0,American Amber / Red Ale
1094,0.051,32.0,Czech Pilsener
1095,0.066,75.0,American IPA
1097,0.051,17.0,Hefeweizen
1101,0.068,90.0,American IPA
1103,0.05,10.0,Fruit / Vegetable Beer
1104,0.046,27.0,American Pale Wheat Ale
1105,0.065,80.0,American Black Ale
1106,0.054000000000000006,45.0,American Pale Ale (APA)
1107,0.048,32.0,American Amber / Red Ale
1108,0.055,42.0,American Pale Ale (APA)
1109,0.059,27.0,Witbier
1110,0.058,58.0,American Pale Ale (APA)
1111,0.07,75.0,American IPA
1112,0.055,20.0,Cream Ale
1113,0.045,20.0,American Blonde Ale
1114,0.068,55.0,American IPA
1115,0.053,28.0,American Pale Ale (APA)
1119,0.048,15.0,American Pale Lager
1125,0.055,37.0,American Pale Ale (APA)
1138,0.05,15.0,Hefeweizen
1139,0.05,50.0,American Pale Ale (APA)
1140,0.093,90.0,American Double / Imperial IPA
1144,0.052000000000000005,16.0,Hefeweizen
1146,0.055,40.0,American Pale Ale (APA)
1147,0.055,25.0,Märzen / Oktoberfest
1148,0.047,20.0,Kölsch
1149,0.066,20.0,Saison / Farmhouse Ale
1150,0.095,85.0,American Double / Imperial IPA
1151,0.049,45.0,American Amber / Red Lager
1152,0.052000000000000005,15.0,Hefeweizen
1153,0.066,70.0,American IPA
1155,0.06,64.0,American IPA
1156,0.055,23.0,Czech Pilsener
1158,0.05,15.0,American Blonde Ale
1162,0.065,65.0,American IPA
1163,0.065,65.0,American IPA
1164,0.055,50.0,American Pale Ale (APA)
1165,0.065,65.0,American IPA
1176,0.06,70.0,American IPA
1177,0.057,10.0,Hefeweizen
1179,0.063,65.0,American IPA
1180,0.048,11.0,American Pale Wheat Ale
1181,0.046,18.0,American Amber / Red Lager
1182,0.046,18.0,American Amber / Red Lager
1183,0.046,18.0,American Amber / Red Lager
1184,0.046,18.0,American Amber / Red Lager
1187,0.054000000000000006,15.0,Hefeweizen
1188,0.07200000000000001,100.0,American IPA
1190,0.048,28.0,Kölsch
1195,0.05,12.0,Cream Ale
1197,0.064,66.0,American IPA
1198,0.064,95.0,American IPA
1199,0.056,70.0,American IPA
1206,0.052000000000000005,30.0,German Pilsener
1207,0.06,30.0,Saison / Farmhouse Ale
1208,0.058,40.0,American Stout
1209,0.057,42.0,American Amber / Red Ale
1210,0.052000000000000005,20.0,Fruit / Vegetable Beer
1211,0.065,75.0,American IPA
1212,0.057,40.0,American Pale Ale (APA)
1215,0.057,47.0,American Pale Ale (APA)
1216,0.058,11.0,Hefeweizen
1217,0.061,30.0,American Brown Ale
1219,0.046,30.0,American Amber / Red Ale
1221,0.04,8.0,Fruit / Vegetable Beer
1224,0.048,20.0,German Pilsener
1227,0.062,65.0,American IPA
1228,0.056,55.0,Czech Pilsener
1229,0.052000000000000005,29.0,American Stout
1240,0.051,32.0,American Amber / Red Ale
1244,0.043,18.0,American Blonde Ale
1246,0.079,18.0,Fruit / Vegetable Beer
1247,0.047,11.0,Kölsch
1248,0.05,40.0,American Pale Ale (APA)
1249,0.069,70.0,American IPA
1250,0.07,32.0,American Brown Ale
1251,0.06,30.0,American Amber / Red Ale
1252,0.051,20.0,Fruit / Vegetable Beer
1253,0.055,13.0,Hefeweizen
1254,0.051,20.0,Fruit / Vegetable Beer
1264,0.05,18.0,American Pale Wheat Ale
1266,0.06,14.0,Fruit / Vegetable Beer
1267,0.085,85.0,American Double / Imperial IPA
1268,0.099,93.0,American Double / Imperial IPA
1269,0.08,88.0,American IPA
1270,0.06,25.0,American Blonde Ale
1271,0.095,49.0,American Brown Ale
1272,0.066,44.0,American Pale Ale (APA)
1280,0.05,20.0,Saison / Farmhouse Ale
1281,0.065,47.0,American Stout
1282,0.05,35.0,American Amber / Red Ale
1288,0.065,60.0,American IPA
1290,0.065,60.0,American IPA
1296,0.05,12.0,American Blonde Ale
1301,0.051,20.0,American Brown Ale
1306,0.06,24.0,American Amber / Red Ale
1307,0.05,12.0,Witbier
1308,0.068,68.0,American IPA
1309,0.055,15.0,American Pale Wheat Ale
1311,0.057,30.0,American Porter
1312,0.062,65.0,American IPA
1313,0.037000000000000005,34.0,American Porter
1314,0.037000000000000005,21.0,Witbier
1315,0.037000000000000005,53.0,American Pale Ale (APA)
1319,0.07200000000000001,75.0,American IPA
1320,0.07200000000000001,75.0,American IPA
1321,0.042,22.0,American Blonde Ale
1322,0.052000000000000005,27.0,American Porter
1323,0.052000000000000005,23.0,American Amber / Red Ale
1324,0.054000000000000006,42.0,American Pale Ale (APA)
1325,0.053,11.0,Fruit / Vegetable Beer
1326,0.053,30.0,American Brown Ale
1327,0.071,62.0,American IPA
1328,0.053,16.0,American Blonde Ale
1330,0.063,61.0,American IPA
1331,0.063,61.0,American IPA
1332,0.048,12.0,Witbier
1333,0.05,24.0,American Brown Ale
1334,0.057,70.0,American IPA
1335,0.08,100.0,American Double / Imperial IPA
1336,0.075,85.0,American IPA
1338,0.08,100.0,American Double / Imperial IPA
1339,0.063,30.0,Cream Ale
1340,0.058,28.0,Kölsch
1354,0.087,80.0,American Double / Imperial IPA
1355,0.051,24.0,American Amber / Red Ale
1356,0.075,51.0,American IPA
1357,0.065,20.0,Saison / Farmhouse Ale
1360,0.051,24.0,American Amber / Red Ale
1375,0.068,66.0,American IPA
1376,0.048,44.0,American Pale Ale (APA)
1377,0.092,75.0,American Double / Imperial IPA
1385,0.075,85.0,American IPA
1386,0.068,75.0,American IPA
1387,0.052000000000000005,50.0,American Pale Ale (APA)
1388,0.067,75.0,American Amber / Red Ale
1389,0.055,30.0,Saison / Farmhouse Ale
1390,0.047,46.0,American Pale Wheat Ale
1391,0.058,40.0,American Stout
1392,0.065,115.0,American Amber / Red Ale
1397,0.056,28.0,American Blonde Ale
1400,0.049,24.0,Märzen / Oktoberfest
1401,0.047,14.0,American Pale Wheat Ale
1403,0.05,35.0,German Pilsener
1404,0.052000000000000005,21.0,Cream Ale
1407,0.052000000000000005,21.0,American Blonde Ale
1408,0.07,70.0,American IPA
1418,0.053,10.0,American Blonde Ale
1419,0.053,14.0,American Pale Wheat Ale
1423,0.086,35.0,German Pilsener
1424,0.042,24.0,American Pale Wheat Ale
